id,position,company
5680,Quantitative Developer Intern,Altcoin Advisors
5681,Software Engineer,C3.ai
5682,Software Developer Intern,Kite.com
5683,Summer Research Intern,UC San Diego
5684,Social Media Director and Recruiter,Duke Impact Investing Group 
5685,Software Engineering Intern,Lockheed Martin
5686,Accounting Intern,Total Community Management
5687,Software Engineer ll,FactSet
5688,Engineering Intern,HERE Technologies
5689,Graduate Hourly Assistant,University of Illinois College of Medicine
5690,Software Engineer Intern,Defence Research and Development Organisation (DRDO)
5691,Intern,Aeronautical Development Establishment
5692,Software Developer,Bloomberg LP
5693,Software Engineering Intern,ZocDoc
5694,Intern (Software Development Engineer),Microsoft
5695,"Teaching Assistant, Operating Systems with Practicum",Cornell University
5696,Sergeant,"12th Signal and Cyber Group, Republic of Korea Army"
5697,Structured Finance Analyst,KB Investment & Securities
5698,Part Time Assistant Research Scientist,NYU Robotics Learning Lab
5699,Information Technology Manager (MOS: 25A),US Army
5700,Software Development Intern,Infusion
5701,Software Engineer Intern,Delve News
5702,Software Engineer,LogMeIn
5703,Software Engineer Internship,Securus Technologies
5704,Embedded Engineer,eInfochips
5705,Embedded Engineer Intern,eInfochips
5706,Staff Software Engineer,Forescout Technologies Inc.
5707,Software Engineer,Forescout Technologies Inc.
5708,Software Engineer Intern,Schlumberger
5709,Technical Intern,Tsinghua National Lab for Information Science and Technology
5710,Software Engineer Intern,Beihang Network & Information Security Center
5711,Research Assistant,Dartmouth Machine Learning Lab
5712,Teaching Assistant,Dartmouth College
5713,Undergraduate Researcher,Thayer School of Engineering at Dartmouth
5714,Data & Services Intern,Mastercard
5715,Board of Directors - New Member Officer,Dartmouth EMS
5716,Tutor,Dartmouth Tutor Clearinghouse
5717,Busser,Red Pheasant Inn
5718,Software Engineer,Opus
5719,Summer Research Intern,IBM
5720,Data Scientist,Cornell Data Science
5721,Team Lead,Cornell Data Science
5722,Software Engineering Intern,DraftKings Inc.
5723,Software Engineering Intern,Tata Consultancy Services
5724,Administrative Intern,Northwell Health
5725,Visiting Scholar,The Feinstein Institute
5726,Software Development Engineer Intern,Smartsheet
5727,Pharmacist,CVS Health
5728,Pharmacy Intern,CVS Health
5729,Pharmacy Technician,CVS Health
5730,Explore Intern: News API,Microsoft
5731,Private/College Tutor,Self-employed
5732,Cuny Research Scholar,City University of New York
5733,General Manager/ Online Coordinator,Union Square Holiday Festival (Shangrila River)
5734,Adjunct College Laboratory Technician,City University of New York-College of Staten Island
5735,Software Engineer Intern,iSun Energy
5736,Research Assistant,City University of New York-Brooklyn College
5737,Software Engineer Intern,Concertio
5738,Teaching Assistant,University of Pennsylvania
5739,"Software Engineer (Cloud + AI, Business Application Group)",Microsoft
5740,Intern,Sailthru
5741,Intern,Sunrise Education
5742,Intern,"Tessellati, LLC"
5743,Blended Learning Intern,United Nations International School
5744,Intern,"Intead - International Education Advantage, LLC"
5745,Student Assistant Instructor ,Duke University
5746,Software Engineer Intern,"WillowTree, Inc."
5747,(Developer) Employee #1,PlaywithAthena
5748,Data+ Initiative Research Intern,Duke University
5749,Business Development and Product Strategy Analyst at Notify Nearby,Notify Nearby
5750,Prostate Cancer/ Genetics Research Intern,Johns Hopkins Next Generation Research Center
5751,Equity Research Intern,China Securities Co
5752,Explorer Intern,Huawei Technologies
5753,"Solutions Architect, Enterprise Technology Dev",Bloomberg LP
5754,Microsoft Student Partner,Microsoft
5755,Software Engineering Intern,Schlumberger
5756,Lead Instructor,TuringLab
5757,Discover 2016 Residential Programme,McKinsey & Company
5758,"Intern, Trading Solutions Connectivity and Integration (TSCI)",Bloomberg LP
5759,"Officer Cadet (OCDT), London University Royal Naval Unit (URNU)",Royal Navy
5760,Student Researcher,Cornell University
5761,Summer Analyst,Credit Suisse
5762,Summer Intern,Ellington Management Group
5763,Software Engineer/Quantitative Research Analyst,SCT Capital Management
5764,Data Science Intern,Exante Data
5765,"Analyst, Commodities",Futures First Info. Services Pvt. Ltd.
5766,"Summer Intern, Equity Research",ZEN SECURITIES LTD.
5767,Software Engineer,"Applied Visions, Inc."
5768,Software Engineering Intern,"Applied Visions, Inc."
5769,iOS Engineer,Microsoft
5770,iOS Engineer Intern,Microsoft
5771,Software Engineer Intern,Thunkable
5772,Software Engineer Intern,Base Operations
5773,Android Developer Intern,Base Operations
5774,Undergraduate Researcher,MIT Koch Institute for Integrative Cancer Research
5775,Notetaker,NTID Access Services
5776,Food Service,Salsarita's
5777,Web Developer,Student IT Office
5778,IT Intern,Dairy One
5779,Fill-in Worker,WNY REO Management
5780,Maintenance,Lions Camp Badger
5781,Substitute Counselor,SVE PAK
5782,Research&Development Intern,"Baidu, Inc."
5783,Consultant II,Microsoft
5784,Consultant,Microsoft
5785,Associate Consultant,Microsoft
5786,Research & Teaching Assistant,Penn State University
5787,Software Engineer - Intern,Cisco Systems
5788,Hardware Test Engineer - Intern,Cisco Systems
5789,Systems Administrator - Intern,Chatham Financial
5790,Software Engineer In Test,Microsoft
5791,Student,WPI
5792,SNAP Driver,Worcester Polytechnic Institute
5793,Instructor,iD Programming Academy
5794,Tech Intern,Callaway Digital Arts
5795,Software Developer,Yandex
5796,Software Engineer,Acronis
5797,Software Engineer,ABBYY
5798,Senior Software Engineer,YouTube
5799,Software Engineer,"Dataminr, Inc."
5800,Software Engineer Intern,"Dataminr, Inc."
5801,Research Intern,Peking University
5802,Software Engineer Intern,Microsoft Research Asia
5803,Undergraduate Research Assistant,SEAM Lab @ UMD
5804,Teaching Assistant,University of Maryland - Robert H. Smith School of Business
5805,Software Engineer Intern,HelloFresh
5806,Spring Business Intern,U.S. Securities and Exchange Commission
5807,Business Development Intern,Rapafusyn Pharmaceuticals
5808,Intern,Stout Risius Ross
5809,Technical Intern,Northrop Grumman Corporation
5810,Web Application Development Intern,"Pragmatics, Inc."
5811,Software Development Intern,"Pragmatics, Inc."
5812,Mentee,George Washington University
5813,IT Analyst,hCentive
5814,Software Development Intern,Amazon
5815,Electrical and Computer Engineering Research Intern,National Chiao Tung University
5816,Chemistry Research Intern,Princeton University
5817,Software Engineer,Two Roads Tech
5818,Teaching Assistant for Data Structures and Algorithms,Washington University in St. Louis
5819,Teaching Assistant for Rapid Prototype Development and Creative Programming,Washington University in St. Louis
5820,Software Engineer,Generopolis 
5821,Software Engineering Intern,T. Rowe Price
5822,Engineering Intern,Federal Communications Commission
5823,Office Intern,"Timmerman, Beaulieu, Hinkle & Esworthy, LLC"
5824,Concessions Vendor,Charm City Hospitality
5825,Intern Staff Investigator,Office of the Federal Public Defender for the District of Maryland
5826,Product Management Fellowship w/ Atlassian & Apartment Therapy,Atlassian
5827,Microsoft New Technologist PM Intern,Microsoft
5828,Early Talent Access Program,Lyft
5829,Product Management Intern,Fahrenheit 212
5830,Data Assistant,Partnership for After School Education (PASE)
5831,UX Design Course,New York On Tech
5832,Advanced Tech Flex Leaders Program ,New York On Tech
5833,Information Technology Intern,Guardian Life
5834,Tech Flex Leader,New York On Tech
5835,Senior Development Lead,Microsoft
5836,Computer Science Student,Cornell University
5837,Lab Consultant,Cornell University
5838,Machine Learning Engineer,Titan Analytics Inc
5839,Software Engineer Intern,Optum
5840,Intern,CIT
5841,Systems Engineer Intern,Meta
5842,Software Engineer Intern,Tesla
5843,Technology Infrastructure Intern,Tesla
5844,Software Engineer,CME Group
5845,Software Engineer Intern,Chicago Trading Company
5846,Data Manager,Michiganensian Yearbook
5847,Showcase Stockroom Assistant,U-M Computer Showcase
5848,Orientation Leader,University of Michigan - Office of New Student Programs
5849,Software Developer Internship,Microsoft
5850,Software Developer Internship,Nokia
5851,Member of Technical Staff,Oracle Corporation
5852,Teachers Assistant,Oregon State University
5853,SDET,Microsoft
5854,Intern SDET,"Office Communications Group, Microsoft"
5855,Tutor,University of Florida
5856,Principal Software Engineer,Curology
5857,Software Engineer,Two Sigma IQ
5858,Senior Software Engineer,Etsy
5859,Software Engineer II,Etsy
5860,Software Engineer I ,Etsy
5861,Software Engineer Intern,EEG Enterprises
5862,Illustrator/Cartoonist/Art Director,Columbia Daily Spectator & Jester
5863,Coordinator,ArtsWave
5864,CS 4700 Artifical Intelligence Teaching Assistant,Cornell University
5865,Software Engineering Intern,Wayfair
5866,Product Development Intern,JDA Software
5867,Engineering Intern,"R&R Mechanical, Inc."
5868,Solutions Engineer Intern,Hewlett-Packard
5869,Project Assistant,Boots
5870,Customer Services Assistant,The Co-operative Group
5871,Independent Researcher,The Johns Hopkins University
5872,Course Assistant,The Johns Hopkins University
5873,Software Engineer Intern,Quorum
5874,Software Engineer Intern,NBT
5875,Intern,GoDaddy
5876,Intern,State Farm ®
5877,Software Engineer,Nimbus Tutoring
5878,Software Engineering Intern,Synchronoss Technologies
5879,Product Management Intern,Synchronoss Technologies
5880,Software Engineer,McKinsey & Company
5881,Software Engineer | InConsulting,Microsoft
5882,Frontend Engineer,Avoy
5883,Software Engineer,"Union Square Park Capital Management, LLC"
5884,Software Engineer,Tagged
5885,Software Engineer at Hopkins InterNetworking Research Group,Johns Hopkins University
5886,Software Engineering Intern,Meta
5887,Software Engineer,Hypotenuse Labs
5888,Software Engineer,Webveloper
5889,Infrastructure Engineering Intern,Wish
5890,Software Developer Intern,Shopify
5891,Full-Stack Developer Intern,Miovision
5892,Software Developer Intern,Vena Solutions
5893,Programmer Intern,Mikutech
5894,Software Engineer,Amadeus IT Group
5895,Software Developer Intern,Sabre Airline Solutions
5896,Software Engineer,Quick Heal
5897,Independent Contractor,National Science Foundation (NSF)
5898,Math Question Center Assistant,Haverford College
5899,Undergraduate Researcher in Algebraic Geometry,Haverford College
5900,Undergraduate Researcher in Computational Astrophysics,Haverford College
5901,Undergraduate Researcher in Theoretical Physics,Haverford College
5902,Undergraduate Researcher in Mathematical Physics,Haverford College
5903,Applied Physics Lab Assistant,Fordham University
5905,Senior Software Engineer,Goldman Sachs
5906,Software Engineer Intern,Amazon.com
5907,Staff Software Engineer,LinkedIn
5908,Software Developer,"Hanweck Associates, LLC"
5909,Software Engineer,Sterling Medical Devices
5910,Software Developer Intern,National Instruments
5911,Engineering Intern,Applied Physics Laboratory-UW
5912,Undergraduate Teaching Assistant,University of Washington
5913,Engineering Intern,Triangul8
5914,IT Operations Intern,Tirebuyer.com
5915,Engineering Intern,"Technical Systems, Inc. (TSI)"
5916,Summer Intern,Caradigm
5917,Director - Partner Technology Strategist,Microsoft
5918,Senior Consultant,Microsoft
5919,Information Technology Analyst,State of New Jersey
5920,Developer,UCA Systems
5921,Software Engineer,DoorDash
5922,Tutor,UC Santa Barbara
5923,Product Manager and Software Engineer Rotation Intern,Microsoft
5924,Mobile App Project Manager,UC Santa Barbara
5925,Teaching Assistant,Department of Electrical & Computer Engineering - University of Washington
5926,Research Assistant,UW Mobile Accessibility Group
5927,Volunteer Software Developer,Pariveda Solutions
5928,Calculus Tutor,University of Notre Dame
5929,Senior Software Engineer,Slice
5930,Senior Software Engineer,Koddi
5931,Software Engineer II,Criteo
5932,Software Engineer II UX,"HookLogic, Inc."
5933,Software Engineer,Zachys Fine Wine
5934,Applications Specialist,DPCI
5935,Pre-Media Associate,Penguin Group USA
5936,Prepress Specialist / Display Production Planner,One Source Visual Marketing Solutions
5937,Quality Technician,Hammer Packaging
5938,Lab Assistant / Digital Output Technician,School of Print Media Prepress Labs & Digital Publishing Center (RIT)
5939,Prepress Department Manager,Mandaue Libertad Commercial & Packaging
5940,Print Media Assistant,Print Applications Laboratory (RIT)
5941,"Vice President, Co-founder, and Board Member","NYC Gaymers, Inc."
5942,Software Engineering Intern,Etsy
5943,Software Engineering Intern,Groupon
5944,Cloud Software Engineering Intern,Inkling
5945,PRISE Fellow,Harvard University
5946,Head Teaching Assistant,Duke University
5947,President,Duke Moot Court
5948,Software Engineer Intern,Cisco Systems
5949,Software Engineer,Gradient Ventures
5950,Software Engineer,AQR Capital Management
5951,Software Engineer,Symantec
5952,Student Technician Queue Coordinator (Student Supervisor),Yale University
5953,Student Technician,Yale University
5954,Software Developer Intern,4DV Analytics
5955,Swim Instructor,Virginia Swim Academy
5956,Customer Service Associate,The Home Depot
5957,Lifeguard & Swim Instructor,"WTS International, Inc."
5958,Manager & Sales Associate,Ashburn Creams
5959,Engineering Manager,Snap Inc.
5960,Technical Lead,Snap Inc.
5961,Research Assistant/Intern,Carnegie Mellon University
5962,Software Engineer,Mapbox
5963,Teaching Assistant,The University of British Columbia
5964,Software Engineer Intern,Foursquare
5965,Software Engineer Intern,A Thinking Ape
5966,Photographer,Vancouver Aquarium Marine Science Centre
5967,Recreational Instructor,City of Coquitlam
5968,Photographer Assistant,Dynamic Weddings
5969,Software Engineering Intern,Uber
5970,Software Engineering Intern,Visa
5971,Software Engineering Intern,Ericsson
5972,Software Engineering Intern,Pzena Investment Management
5973,Co-Founder,"Deli Interactive, LLC"
5974,Computer Scientist,DB Consulting Group | NASA Glenn Research Center
5975,Undergraduate Research Assistant,University of Utah
5976,Software Engineer Internship,NASA Glenn Research Center
5977,Computer Science Teaching Assistant,University of Utah - Employment
5978,Technology and Inventory Manager,Meals with a Mission
5979,Software Engineering Consultant,Northwell Health
5980,Software Engineering Intern,Northwell Health
5981,Summer Researcher,Maritime Security Center
5982,Technical Consultant,Source3
5983,Summer Intern,Source3
5984,Innovation Program Intern,Grand Central Tech
5985,"Software Developer (SDE II), Yammer",Microsoft
5986,Software Engineer,Twitter
5987,Software Engineer Co-Op (Test Enablement Development Platforms),Wayfair
5988,Sophomore Edge Participant,JPMorgan Chase & Co.
5989,Teaching Assistant for Summer Immersion Program @ AT&T,Girls Who Code
5990,Summer Immersion Program Participant @ Lockheed Martin,Girls Who Code
5991,Senior Software Engineer,Plaid
5992,Software Engineer Internship,Rakuten
5993,Senior Staff Software Engineer,Plaid
5994,Staff Software Engineer,Lyft
5995,Senior Software Engineer,Lyft
5996,Reliability Software Engineer,Lyft
5997,Software Engineer,Lyft
5998,Webmaster,Eta Kappa Nu - Iota Gamma Chapter(UCLA)
5999,Webmaster,UCLA Delta Tau Delta [ΔTΔ]
6000,Software Engineering Intern (Cisco Choice),Cisco Systems | SAVG
6001,Software Engineering Intern,RAND Corporation
6002,Software Engineering Intern (Cisco Choice),Cisco Systems | SAVBU
6003,Software Engineering Intern,XIA LLC
6004,Software Engineering Intern,Constant Contact
6005,Software Engineering Intern,"Datto, Inc."
6006,IT Intern and Database Administrator ,KLB Construction Inc
6007,Software Engineer,Cambia Health Solutions
6008,"Software Engineer Intern, Office of the Chief Data Scientist, Science Team",AIG
6009,Android Developer Intern at GTS,New York University
6010,Research Assistant,Chinese Academy of Sciences
6011,Research Software Development Engineer,Microsoft
6012,Project Engineer,Wipro Technologies
6013,Summer Intern,Indian Institute of Science
6014,Associate Software Engineer,Qualcomm
6015,Research Assistant,National In
6016,Research Intern,Nanyang Technological University
6017,President,"ACM, Association for Computing Machinery"
6018,Resident Advisor,Lafayette College
6019,Teaching Assistant,Lafayette College
6020,"User Service Technician, ITS Department",Lafayette College
6021,"NT Intern, M365 Core",Microsoft
6022,Engineering Essentials Fellow,Goldman Sachs
6023,Back End Developer,Mozilla
6024,Software Engineer Intern,CignatureMBA
6025,AR/VR Researcher,National Science Foundation (NSF)
6026,Class A Player,United States Chess Federation
6027,QA Intern,Micro Focus (formerly HP / Hewlett Packard Enterprise)
6028,Co-Founder & Software Engineer,Alexandria
6029,Free Lance Product Developer,LionBase LLC
6030,Software Engineer Intern,Tulip Interfaces
6031,Research Intern - Lab for Intelligent Imaging and Neural Computing,"Data Science Institute, Columbia University"
6032,Research Intern - Lin Lab,NYU Langone Health
6033,Software Engineer Intern,Atilika
6034,SFU Microsoft Intern Ambassador,Microsoft
6035,Software Engineering Lead Analyst,Express Scripts
6036,Programmer Analyst,Express Scripts
6037,Associate Programmer Analyst,Express Scripts
6038,QA Continuous Integration Intern,Vidyo
6039,Software Engineering Intern,Vidyo
6040,Research And Development Intern,BD
6041,Software Engineer,Bandwidth Inc.
6042,Software Engineer,Vertafore
6043,Technical Team Member,Engineers Without Borders - Princeton University
6044,Mathematics Tutor,Princeton Tutoring
6045,Summer Intern,The Sheikh Zayed Institute for Pediatric Surgical Innovation
6046,Summer Intern,Picatinny Arsenal: Nanomaterials Lab
6047,Intern,Novartis
6048,Student Intern,New Jersey Governor's School in the Sciences
6049,Summer Intern,Visual and Neural Engineering Laboratory
6050,Summer Intern,Center for Molecular and Behavioral Neuroscience
6051,Computer Science Research Assistant,Mount Holyoke College
6052,Software Engineer II,Ophelia
6053,Intern,Noora Health
6054,Technology Summer Intern,Deutsche Bank
6055,Teacher,Gabriel Project Mumbai
6056,Undergraduate TA/Consultant/Grader,Cornell University
6057,Software Engineering Intern,IXL Learning
6058,Senior Software Engineer,Instagram
6059,SDET Intern,Microsoft
6060,Summer Intern,IBM
6061,Discrete Mathematics Teaching Assistant,Tufts University
6062,Front End Software Developer,Tufts Interdisciplinary Laboratory for Computation
6063,IT Support Student Worker,Tufts Library IT Services
6064,Teaching Assistant,IIT Delhi
6065,Research Intern,Adobe
6066,Software Engineering Intern,Microsoft India
6067,Research Intern,"Systems Security Lab, New York University, Polytechnic School of Engineering"
6068,Quality Assurance Specialist,NVIDIA
6069,Help Desk Specialist,Siemens
6070,Software Engineering Intern,"Sonos, Inc."
6071,Returning Software Engineer Intern,Microsoft
6072,TA,Princeton University Department of Computer Science
6073,Visiting TA,Princeton University Department of Computer Science
6074,Above & Beyond Computer Science Fellow,Facebook
6075,Media Coordinator at Keller Entrepreneurship Center,Princeton University
6076,Social Media Coordinator at Princeton Athletics,Princeton University
6077,Software Engineering Intern,Mercatalyst
6078,Software Engineer (Co-op),Gorbel Inc.
6079,Engineering Services Intern,Mercedes-Benz USA
6080,Senior Software Engineer,Amazon
6081,Software Engineer 2,Amazon
6082,"Software Engineer, Intern",Amazon
6083,"Software Engineer in Test, Intern",Microsoft
6084,"Software Engineer, Intern",Lockheed Martin
6085,Software Engineer,Snowflake
6086,Teaching Assistant,Duke University
6087,Teaching Assistant,Duke Computer Science
6088,Math Tutor,Duke Academic Resource Center
6089,Software Engineer,Nividous
6090,Machine Learning Intern,eInfochips (An Arrow Company)
6091,Intern,KredX
6092,Intern,Nividous Software Solutions
6093,Graduate Teaching Assistant (Big Data),New York University
6094,Software Developer Intern,MarketAxess
6095,Graduate Teaching Assistant (Java and Web Systems),New York University
6096,Software Engineer,Seclore
6097,Assistant Vice President,Citi
6098,Software Developer,Citi
6099,Vice President and Project Lead,Engineers Without Borders Rutgers Univeristy
6100,Software Development Intern,Citi
6101,Cyber Security Honors Intern,Federal Bureau of Investigation (FBI)
6102,Research Intern,Wireless Information Networks Laboratory
6103,Graduate Teaching Assistant,University of Southern California
6104,Software Engineer,University of Southern California
6105,Software Engineer,Sprinklr
6106,Software Engineer Intern,Sprinklr
6107,Software Engineer,"XchangeWorx, Inc."
6108,Software Developer,Research Foundation for State University of New York
6109,Electronic Engineer,Brigates Microelectronic Inc
6110,Azure Software Engineer,Microsoft
6111,Tutor,New York University TRIO Program
6112,Internship,SquarePlan (We're hiring!)
6113,NSF Research Assistant,New York University
6114,Swimming Instructor,Darien Ymca
6115,Intern,Cedargate Technologies
6116,Software Engineer,Gemini
6117,Master of Science,Columbia Engineering
6118,Software Developer,Google Summer of Code 2014
6119,Technical Translator,Editora Alta Books
6120,Teaching Assistant,Universidade Federal do Estado do Rio de Janeiro
6121,Software Engineer Intern,Ideais
6122,Graduate Intern,BMC Software
6123,Teaching Assistant,CS 4700 - Artificial Intelligence 
6124,Software Development Intern,Capital One
6125,Undergraduate Researcher,Natural Language Processing Lab
6126,Undergraduate Researcher,Virtual Embodiment Lab
6127,Software Development Intern,AT&T
6128,Electronics Sub-Team Lead,Cornell ChemE Car Project Team
6129,Engineering Alumni Affairs Website Manager,Cornell University College of Engineering
6130,Java Development and Desktop Support Intern,"People's United Bank, N.A."
6131,Product Marketing and Sales,TIO GAZPACHO
6132,Product Engineering Intern,"Festo Didactic, Inc."
6133,Software Engineer,BNY Mellon
6134,Software Engineer Intern,Wayfair
6135,Software Engineer Intern,UPS
6136,iOS Developer,PeerPlus
6137,Web Application Development Intern,Goodservice Information Corporation
6138,2019 Fellow,Rewriting the Code
6139,Undergraduate Teaching Assistant,Carnegie Mellon University
6140,Web Developer,Combplex
6141,Explore (SWE + PM) Intern,Microsoft
6142,Business/Design Team Member,Cornell University Autonomous Underwater Vehicle
6143,Impact Fellow,Impact Labs
6144,Research Assistant,Cornell Social Media Lab
6145,Mobile Development Intern,Con Edison
6146,Software Engineer,Tensile Payments
6147,Software Engineer,LoanStreet Inc.
6148,Software Engineer,Independent Projects
6149,Associate Brand Manager - Ketel One Vodka,Diageo
6150,Senior Associate Brand Manager - Bud Light,Anheuser-Busch InBev
6151,Senior Associate Brand Manager - Bud Light Beer Extensions,Anheuser-Busch InBev
6152,Brand Associate - Bud Light,Anheuser-Busch InBev
6153,Global Management Trainee,Anheuser-Busch InBev
6154,Contributing Writer,The Huffington Post
6155,Columnist & Editorial Board Editor,The Harvard Crimson
6156,Student Director,"LIFT, Inc."
6157,Software Developer,"Turner Broadcasting System, Inc. - Cartoon Network"
6158,Front-End Software Developer,PegasusCRM
6159,Classroom Consultant Moderator,University of Virginia
6160,Cyber Security Research Assistant,University of Virginia
6161,Management Assistant,University of Virginia
6162,Near Peer Mentor,US Army - Picatinny Arsenal
6163,"Software Development Engineer, Hololens",Microsoft
6164,Student Researcher,Yale University
6165,Researcher,Yale Computer Graphics Group
6166,Intern,Schlumberger Information Solutions
6167,Intern,IBM
6168,Intern,Innospec Fuel Specialties LLC
6169,Technical Specialist,Bloomberg LP
6170,Team Leader,Jumpstart
6171,Software Engineer Intern,Instructure
6172,Corporate Outreach Lead,compileHer
6173,Lead Instructor,"POWER UP TECH ACADEMY, LLC"
6174,Lifeguard,City of Plano
6175,Teen Docent,Dallas Museum of Art
6176,Software Developer,Itlize Global LLC
6177,Research Assistant,New York Institute of Technology
6178,Associate Technical Lead,TO THE NEW
6179,Senior Software Engineer,Sapient
6180,Associate Technology,AVIZVA
6181,Senior Software Engineering,NIIT Technologies Limited
6182,Software Engineer,Stripe
6183,Software Engineer,Allok8
6184,Chaturanga | URL-based WebSocket Chat Messenger,Open Source
6185,MVV Fashion | E-commerce template with SQL database and transactional API,Open Source
6186,xCSQ | Study Guide for Developers,Open Source
6187,QA Engineer,Apple
6188,Software Development Intern,Thermo Fisher Scientific
6189,Residential Advisor,Cornell University
6190,Buyer,Belltower Books
6191,Part-time Research Programmer,Linguistic Data Consortium
6192,Master of Computer and Information Science,University of Pennsylvania
6193,Research Assistant,The Wharton School
6194,Financial Modeling Group Intern,BlackRock Solutions
6195,Bachelor of Machine Intelligence,Peking University
6196,Software Engineer Intern,NCR Corporation
6197,"Associate Engineer I, Real-Time Control",Xerox
6198,Student Assistant,Florida International University
6199,Research Assistant,NC State University
6200,Software Engineer,Delaware State University
6201,Software Engineer,Jane Street
6202,Program Manager,Microsoft
6203,Software Engineer (Contract),Opentrons
6204,Cofounder,"Down, Inc"
6205,Cofounder,Toucan Checkout
6206,Engineering Intern,Numenta
6207,IT Support,Purdue University
6208,Intern,"Intrepid Technology, Inc"
6209,Lab Intern,University of California at Davis
6210,Software Development Intern,Juniper
6211,Intern,Bielefeld University
6212,Research Intern,École Polytechnique de Montréal
6213,Technical Secretary,Kameng Hostel
6214,"Senior Software Engineer, Dynamics 365 Connected Spaces",Microsoft
6215,"Senior Software Engineer, Microsoft Dataverse",Microsoft
6216,"Software Engineer II, Microsoft Dataverse",Microsoft
6217,"Software Engineer, Microsoft Dataverse",Microsoft
6218,Director of Technology,HackDartmouth
6219,James O. Freedman Presidential Scholar Research Assistant,Dartmouth College
6220,Web Developer,Neukom Digital Arts Leadership and Innovation Lab
6221,Vice President of Finance,Kappa Delta - Eta Xi Chapter
6222,Research Intern,Simons Summer Research Fellowship
6223,Software Engineer Intern,Capital One
6224,CS Learning Assistant,Rutgers University
6225,Software Engineer Intern,Prudential Financial
6226,Software Engineer Intern,Cisco
6227,Software Engineer Co-op,Cambridge Innovation Institute
6228,Software Engineer Co-op,"Cantella & Co., Inc."
6229,Software Engineer II (Azure Data Explorer - Kusto),Microsoft
6230,Software Backend Developer,Wix.com
6231,Product Manager,Simlat UAS Training & Simulation
6232,Customer Experience Associate,"Barnes & Noble, Inc."
6233,Software Engineering Research Assistant,NYU Tandon School of Engineering
6234,Lead Attendant,NYU Brooklyn Athletic Facility
6235,Entrepreneurial Team Leader,NYU I-Corps Site
6236,Computer Science and Calculus Tutor,City University of New York-College of Staten Island
6237,Software Development Engineer,Hitachi Data System
6238,Software Development Engineer Intern,Softheon
6239,"CTO, Defender for Cloud Apps",Microsoft
6240,R&D Group Leader,IDF
6241,R&D Team Leader,IDF
6242,Software Team Leader,IDF
6243,Software Engineer,IDF
6244,Software Engineer,Yahoo
6245,Teaching Assistant for Computer Networks,Columbia University in the City of New York
6246,Full Stack Developer,Columbia University Mailman School of Public Health - Department of Epidemiology
6247,Software Engineer Intern,"1-800-FLOWERS.COM, INC."
6248,Software Engineering Fellow,Google
6249,Software Development Engineer,Microsoft Mediaroom
6250,Software Engineer,Tellme Networks
6251,Security Software Engineer II,Microsoft
6252,Mentor and Scrum Manager,Theta Tau
6253,Recording Secretary,Theta Tau
6254,Teaching Assistant and Laboratory Conductor,New York University
6255,Fitness Assistant,New York University
6256,Program Assistant,New York University
6257,Welcome Week Leader,New York University
6258,Orientation Captain,NYU Tandon School of Engineering
6259,Front Desk Associate,Caffe Bene
6260,Orientation Leader,NYU Tandon School of Engineering
6261,Volunteer,Discovery Cube Orange County
6262,Software Development,Eastman Kodak Company
6263,Software Engineering Intern,Instagram
6264,CS 2150 Teaching Assistant ,University of Virginia
6265,Engineering Intern,Facebook
6266,Software Engineer,First Databank (FDB)
6267,Software Engineer Intern,First Databank (FDB)
6268,Software Application Developer,Seek2Share Technologies Pvt Ltd
6269,Jr. Software Engineer,Nextgen Clearing
6270,Software Engineer,"GCOM Software, LLC"
6271,Product Development Engineer,Mahindra Comviva
6272,Premier Field Engineer,Microsoft
6273,Web Services Developer,TradingScreen
6274,Application Developer,TradingScreen
6275,Full Stack Engineer,TradingScreen
6276,Java Software Engineer,TradingScreen
6277,System Application Developer,Citi
6278,Software Engineer,Citi
6279,Intern,Forbes
6280,Board Member,1 Thing Inc
6281,Principal Software Development Engineer,Shutterstock
6282,Senior Software Development Engineer,Shutterstock
6283,Co-Founder & CTO,Meixin Global
6284,Software Development Engineer,Shapeways
6285,Software Development Engineer in Test,Microsoft
6286,Software Developer Engineer Intern,Microsoft
6287,Software Engineer Intern,Wonderwiz
6288,Software Engineer Intern,Alibaba Cloud
6289,Software Engineer Intern,Sangfor Technologies
6290,Research Assistant,University of Science and Technology of China
6291,Research Assistant,Rutgers University
6292,Softwar Engineer Intern,VeryCloud
6293,Software Engineering,Bloomberg LP
6294,Software Engineer,Vim (formerly BookMD)
6295,Software Engineer,Zynga
6296,Intern,Teradici
6297,Principal Software Engineering Manager at OPG APEX Shared,Microsoft
6298,Principal Software Engineer at OXO APEX,Microsoft
6299,Senior Software Engineer at OXO APEX (Apple Productivity Experience),Microsoft
6300,Software Development Engineer II at Office APEX (Apple Productivity Experience),Microsoft
6301,Software Development Engineer II,Microsoft
6302,Senior Software Engineer,"CA, Inc."
6303,Quality Assurance Engineer,"CA, Inc."
6304,Sessional Teaching Staff,Swinburne University of Technology
6305,Data Processing Staff,VCAA
6306,Undergraduate Teaching Assistant,University of Michigan
6307,Research Assistant,University of Michigan Health System
6308,Computer Science Tutor/Teaching Assistant,University of Adelaide
6309,Summer Research Scholarship,University of Adelaide
6310,Developer,Enabled Solutions
6311,Web Developer,Skeddadle Australasia Pty Ltd
6312,Introduction to Computing in Python (CS1110) TA,Cornell University
